Filename,# unique final preds,# useful preds,# preds w/ calls,# initial preds,# final preds,# initial full exprs unseq. s.e,additional partial-alias responses,additional must-not-alias responses,additional may-alias responses,additional must-alias responses,Benchmark,Increase in additional may-alias responses(%),Increase in additional must-alias responses(%),Increase in additional must-not-alias responses(%),Increase in additional partial-alias responses(%),Total AA Queries,Total AA Queries w/ Unseq
index.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,20719.0,20719.0
filter_decoder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,93.0,93.0
alone_encoder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,1158.0,1158.0
crc32_table.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,0.0,0.0
filter_buffer_decoder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,171.0,171.0
lzma_encoder_optimum_normal.stats,6,0,0,18,26,13,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,139128.0,139128.0
block_header_encoder.stats,2,0,0,6,2,5,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,281.0,281.0
sha256.stats,1,0,0,6,1,6,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,1049.0,1049.0
args.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,0.0,0.0
x86.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,145.0,145.0
cpp_init.stats,2,0,0,2,2,1,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,8084.0,8084.0
vli_encoder.stats,1,0,0,5,1,5,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,28.0,28.0
spec.stats,6,6,0,14,6,7,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,3081.0,3081.0
simple_coder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,2835.0,2835.0
hardware.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,10.0,10.0
easy_preset.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,15.0,15.0
list.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,30600.0,30600.0
stream_flags_common.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,28.0,28.0
index_decoder.stats,11,5,0,15,11,8,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,1460.0,1460.0
crc32_fast.stats,4,0,0,8,8,6,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,528.0,528.0
stream_encoder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,3085.0,3085.0
vli_decoder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,28.0,28.0
filter_flags_encoder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,24.0,24.0
tuklib_mbstr_width.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,1.0,1.0
main.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,0.0,0.0
file_io.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,1643.0,1643.0
util.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,309.0,309.0
alone_decoder.stats,0,0,0,8,0,5,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,1801.0,1801.0
init-regs.stats,0,0,0,193,0,66,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,4997.0,4997.0
loop-doloop.stats,0,0,0,208,0,71,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,146.0,146.0
prefix.stats,4,0,0,5,8,2,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,944.0,944.0
toplev.stats,2,0,0,375,3,128,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,86800.0,86800.0
dojump.stats,0,0,0,193,0,66,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,30142.0,30142.0
opts.stats,15,1,0,426,19,146,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,110983.0,110983.0
ira-lives.stats,3,0,2,285,3,96,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,267673.0,267673.0
tree-pretty-print.stats,0,0,0,330,0,113,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,532209.0,532209.0
index_encoder.stats,2,1,0,6,2,5,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,1012.0,1012.0
i386-c.stats,0,0,0,52,0,18,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,48891.0,48891.0
tree-ssa-forwprop.stats,2,1,0,330,6,113,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,660004.0,660004.0
fwprop.stats,7,1,0,240,20,83,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,75391.0,75391.0
tree-ssa-dom.stats,12,3,0,375,33,128,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,453650.0,453650.0
tracer.stats,2,0,0,332,2,115,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,21004.0,21004.0
print-tree.stats,1,0,0,316,1,109,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,168359.0,168359.0
filter_common.stats,2,0,0,6,3,6,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,1291.0,1291.0
decContext.stats,0,0,0,4,0,4,0,0,0,0,502.gcc_r,0.0,0.0,0.0,0.0,1729.0,1729.0
lzma_decoder.stats,220,2,0,224,224,77,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,144613.0,144613.0
easy_encoder_memusage.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,3.0,3.0
stream_buffer_decoder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,153.0,153.0
sparc.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,103.0,103.0
tuklib_physmem.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,0.0,0.0
block_util.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,30.0,30.0
price_table.stats,0,0,0,12,0,7,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,0.0,0.0
stream_buffer_encoder.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,210.0,210.0
easy_decoder_memusage.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,3.0,3.0
common.stats,0,0,0,4,0,4,0,0,0,0,557.xz_r,0.0,0.0,0.0,0.0,2592.0,2592.0
gv.stats,21,1,5,52,23,40,-1,-2,-190,0,500.perlbench_r,-0.04,0.0,-0.004,-0.089,537128.0,536935.0
cfglayout.stats,9,0,1,225,11,77,0,-6,-70,1,502.gcc_r,-0.056,0.29,-0.105,0.0,131474.0,131399.0
hv.stats,13,3,1,31,19,24,-1,-8,-597,1,500.perlbench_r,-0.353,0.108,-0.076,-0.12,181607.0,181002.0
omega.stats,65,22,6,139,90,54,0,-17,-3507,0,502.gcc_r,-0.641,0.0,-0.041,0.0,589504.0,585980.0
lzma_encoder.stats,8,3,0,12,16,7,0,-31,-371,2,557.xz_r,-0.637,0.623,-0.045,0.0,127179.0,126779.0
block_buffer_encoder.stats,13,3,0,17,26,9,0,-45,-120,0,557.xz_r,-16.667,0.0,-5.351,0.0,1596.0,1431.0
pp_pack.stats,103,21,51,168,2872,114,-12,-3787,-5861,-24,500.perlbench_r,-0.142,-2.122,-0.618,-1.131,4730434.0,4720750.0
