Filename,# unique final preds,# useful preds,# preds w/ calls,# initial preds,# final preds,# initial full exprs unseq. s.e,additional partial-alias responses,additional must-not-alias responses,additional may-alias responses,additional must-alias responses,Benchmark,Increase in additional may-alias responses(%),Increase in additional must-alias responses(%),Increase in additional must-not-alias responses(%),Increase in additional partial-alias responses(%),Total AA Queries,Total AA Queries w/ Unseq
view3d_header.stats,0,0,0,32,0,11,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,4610.0,4610.0
editmesh_bevel.stats,3,1,1,33,4,12,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,6466.0,6466.0
interface_handlers.stats,29,13,3,45,49,17,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,1365434.0,1365434.0
mask_draw.stats,12,7,0,38,12,15,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,12925.0,12925.0
wm_files.stats,2,0,0,6,6,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,14798.0,14798.0
paint_utils.stats,3,2,0,21,3,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,22729.0,22729.0
buttons_ops.stats,0,0,0,4,0,4,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3131.0,3131.0
physics_fluid.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,69.0,69.0
space_logic.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,5368.0,5368.0
text_ops.stats,5,0,1,11,6,10,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,43341.0,43341.0
space_script.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,2112.0,2112.0
uvedit_parametrizer.stats,0,0,0,16,0,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,22.0,22.0
view3d_camera_control.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,7097.0,7097.0
object_relations.stats,2,1,4,38,2,17,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,140990.0,140990.0
interface_eyedropper.stats,2,0,2,20,2,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,11192.0,11192.0
space_file.stats,2,1,0,8,2,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,15563.0,15563.0
space_userpref.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,2218.0,2218.0
pose_slide.stats,7,3,1,25,19,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,30517.0,30517.0
nla_draw.stats,0,0,0,12,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,12546.0,12546.0
space_outliner.stats,4,1,0,8,4,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,4976.0,4976.0
buttons_context.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,164354.0,164354.0
wm_subwindow.stats,1,0,1,19,1,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,1350.0,1350.0
node_toolbar.stats,0,0,0,0,0,0,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,45.0,45.0
pose_transform.stats,9,6,0,27,9,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,18246.0,18246.0
editcurve_add.stats,65,17,0,83,93,28,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,235140.0,235140.0
editmesh_knife.stats,9,4,1,39,35,16,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,459933.0,459933.0
space_text.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,28327.0,28327.0
clip_dopesheet_ops.stats,0,0,0,16,0,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,1316.0,1316.0
editcurve.stats,31,11,1,48,35,21,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,1041382.0,1041382.0
node_templates.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,22920.0,22920.0
render_ops.stats,0,0,0,0,0,0,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,253.0,253.0
nla_select.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,13805.0,13805.0
view3d_project.stats,0,0,0,16,0,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,5887.0,5887.0
text_header.stats,0,0,0,2,0,1,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,528.0,528.0
uvedit_buttons.stats,0,0,0,32,0,11,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,4375.0,4375.0
particle_boids.stats,0,0,0,2,0,1,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3226.0,3226.0
cipher.stats,0,0,0,31,0,30,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,264.0,264.0
object_bake_api.stats,2,0,0,18,2,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,99238.0,99238.0
object_bake.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,41414.0,41414.0
filelist.stats,2,0,0,8,2,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,32325.0,32325.0
space_clip.stats,2,1,0,20,2,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,82635.0,82635.0
pose_group.stats,2,0,0,6,2,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,2769.0,2769.0
action_ops.stats,0,0,0,0,0,0,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,8791.0,8791.0
dynamicpaint_ops.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,2137.0,2137.0
tracking_ops.stats,6,3,0,24,6,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,130290.0,130290.0
armature_edit.stats,6,6,0,24,6,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,61941.0,61941.0
info_draw.stats,0,0,0,4,0,4,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3466.0,3466.0
action_draw.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,4621.0,4621.0
view3d_select.stats,18,9,0,50,18,14,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,197517.0,197517.0
interface_widgets.stats,11,3,0,27,61,12,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,211767.0,211767.0
nla_edit.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,30049.0,30049.0
object_lod.stats,0,0,0,0,0,0,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,203.0,203.0
fsmenu.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,6442.0,6442.0
wm_gesture.stats,7,3,1,25,7,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3653.0,3653.0
area.stats,4,1,0,20,6,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,61834.0,61834.0
space_sequencer.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,13321.0,13321.0
physics_ops.stats,0,0,0,0,0,0,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3661.0,3661.0
view3d_view.stats,6,6,0,24,6,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,51529.0,51529.0
node_relationships.stats,8,0,4,26,8,13,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,36696.0,36696.0
object_group.stats,2,2,0,8,2,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,6201.0,6201.0
interface_utils.stats,2,0,0,18,2,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,1842.0,1842.0
render_preview.stats,15,2,0,33,15,10,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,47070.0,47070.0
render_update.stats,0,0,0,4,0,4,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,22470.0,22470.0
editmesh_add.stats,0,0,0,14,0,4,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,7050.0,7050.0
object_lattice.stats,1,0,1,19,1,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,25962.0,25962.0
render_internal.stats,0,0,3,21,0,10,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,44999.0,44999.0
pose_edit.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,10787.0,10787.0
object_edit.stats,0,0,0,32,0,11,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,15679.0,15679.0
editmesh_knife_project.stats,0,0,0,32,0,11,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,3123.0,3123.0
paint_undo.stats,1,0,1,7,1,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,4882.0,4882.0
view3d_ops.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,108482.0,108482.0
view3d_edit.stats,32,20,3,51,32,23,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,136969.0,136969.0
outliner_draw.stats,2,0,0,20,2,9,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,29152.0,29152.0
wm_dragdrop.stats,4,0,0,10,4,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,6313.0,6313.0
userpref_ops.stats,0,0,0,4,0,4,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,0.0,0.0
action_edit.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,10936.0,10936.0
histogram.stats,1,0,0,32,6,31,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,28876.0,28876.0
interface_ops.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,6574.0,6574.0
attribute.stats,0,0,0,31,0,30,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,13906.0,13906.0
gem.stats,0,0,0,31,0,30,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,69.0,69.0
profile.stats,16,0,0,51,70,39,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,27591.0,27591.0
type.stats,1,0,2,7,1,6,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,17721.0,17721.0
option.stats,8,0,0,12,8,6,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,3456.0,3456.0
timer.stats,0,0,0,4,0,4,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,420.0,420.0
prepress.stats,0,0,0,4,0,4,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,253.0,253.0
animate.stats,0,0,0,4,0,4,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,55.0,55.0
annotate.stats,7,0,0,41,12,38,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,22580.0,22580.0
color.stats,5,0,2,38,5,36,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,23043.0,23043.0
montage.stats,0,0,0,4,0,4,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,54147.0,54147.0
resource.stats,4,0,0,8,4,6,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,4231.0,4231.0
signature.stats,9,0,0,40,65,35,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,8213.0,8213.0
locale.stats,1,0,2,7,1,6,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,13050.0,13050.0
